date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-02-05,sz.002351,4.7838670000,4.9466612800,4.7267462000,4.8081433400,4.7838670000,12283175,414766952.4400,2,41.497213,1,0.507457,0
2010-02-08,sz.002351,4.8552680000,4.9038206800,4.7353143200,4.8609800800,4.8081433400,6196713,209524488.4200,2,20.934841,1,1.098900,0
2010-02-09,sz.002351,4.7767269000,4.7981472000,4.6910457000,4.7196061000,4.8609800800,3074719,101907509.7200,2,10.387564,1,-2.908300,0
2010-02-10,sz.002351,4.7395983800,4.7767269000,4.6696254000,4.7653027400,4.7196061000,2113397,69970110.2500,2,7.139855,1,0.968200,0
2010-02-11,sz.002351,4.7524505600,4.7524505600,4.6996138200,4.7167500600,4.7653027400,1400488,46259447.8200,2,4.731378,1,-1.018900,0
2010-02-12,sz.002351,4.7410264000,4.8124274000,4.7124660000,4.7910071000,4.7167500600,1622166,54133280.5900,2,5.480291,1,1.574300,0
2010-02-22,sz.002351,4.7553066000,4.7867230400,4.7167500600,4.7281742200,4.7910071000,1107508,36848814.9600,2,3.741581,1,-1.311500,0
2010-02-23,sz.002351,4.7124660000,4.7438824400,4.5553838000,4.6653413400,4.7281742200,1462870,47501461.4400,2,4.942128,1,-1.328900,0
2010-02-24,sz.002351,4.6239287600,4.8395597800,4.5910843000,4.8267076000,4.6653413400,2717600,91143768.7000,2,9.181081,1,3.458800,0
2010-02-25,sz.002351,4.8495559200,5.1237357600,4.8409878000,5.0337705000,4.8267076000,5750206,202018914.5500,2,19.426372,1,4.289900,0
2010-02-26,sz.002351,4.9994980200,5.0837512000,4.9695096000,5.0780391200,5.0337705000,3478235,122555744.2900,2,11.750794,1,0.879400,0
2010-03-01,sz.002351,5.1137396200,5.5407176000,5.1123116000,5.3893474800,5.0780391200,6098531,228720795.3100,2,20.603145,1,6.130500,0
2010-03-02,sz.002351,5.3836354000,5.5021610600,5.3122344000,5.4693166000,5.3893474800,3018812,114336512.2300,2,10.198689,1,1.483800,0
2010-03-03,sz.002351,5.4436122400,5.4864528400,5.2979542000,5.3936315400,5.4693166000,2781388,104654842.1900,2,9.396581,1,-1.383800,0
2010-03-04,sz.002351,5.3750672800,5.4521803600,5.2679657800,5.3693552000,5.3936315400,3023710,113240367.9600,2,10.215236,1,-0.450100,0
2010-03-05,sz.002351,5.3550750000,5.5678499800,5.2865300400,5.4407562000,5.3693552000,2895574,110008273.5600,2,9.782345,1,1.329800,0
2010-03-08,sz.002351,5.4264760000,5.4350441200,5.3365107400,5.3636431200,5.4407562000,1813361,68242337.7100,2,6.126220,1,-1.417300,0
2010-03-09,sz.002351,5.3879194600,5.4107677800,5.3022382600,5.4107677800,5.3636431200,1588139,59528247.5500,2,5.365334,1,0.878600,0
2010-03-10,sz.002351,5.4107677800,5.4107677800,5.0851792200,5.1137396200,5.4107677800,2437370,88932435.8800,2,8.234358,1,-5.489600,0
2010-03-11,sz.002351,5.0851792200,5.1922807200,4.9723656400,5.1208797200,5.1137396200,2198566,77901456.3500,2,7.427588,1,0.139600,0
2010-03-12,sz.002351,5.0966033800,5.2308372600,5.0123502000,5.0252023800,5.1208797200,1847283,66550391.3100,2,6.240821,1,-1.868400,0
2010-03-15,sz.002351,5.0666149600,5.0666149600,4.9266690000,4.9737936600,5.0252023800,1234072,42849765.9600,2,4.169162,1,-1.023000,0
2010-03-16,sz.002351,4.9980700000,5.0480507000,4.9452332600,5.0023540600,4.9737936600,1306758,45850167.4200,2,4.414723,1,0.574200,0
2010-03-17,sz.002351,5.0623309000,5.1822845800,5.0551908000,5.1480121000,5.0023540600,1834617,65720423.2200,2,6.198030,1,2.911800,0
2010-03-18,sz.002351,5.1494401200,5.1551522000,5.0708990200,5.1351599200,5.1480121000,1304944,46723956.6000,2,4.408595,1,-0.249700,0
2010-03-19,sz.002351,5.1051715000,5.2608256800,5.0837512000,5.2436894400,5.1351599200,1549580,56172478.0200,2,5.235068,1,2.113500,0
2010-03-22,sz.002351,5.2194131000,5.3236585600,5.2022768600,5.2893860800,5.2436894400,1522167,55990990.5200,2,5.142456,1,0.871500,0
2010-03-23,sz.002351,5.3507909400,5.3507909400,5.2194131000,5.2836740000,5.2893860800,1238703,45570739.9900,2,4.184807,1,-0.108000,0
2010-03-24,sz.002351,5.3108063800,5.5407176000,5.2394053800,5.4907369000,5.2836740000,3216364,123035332.5400,2,10.866095,1,3.918900,0
2010-03-25,sz.002351,5.4978770000,5.5121572000,5.3550750000,5.3764953000,5.4907369000,1805299,68687742.4900,2,6.098983,1,-2.080600,0
2010-03-26,sz.002351,5.2693938000,5.3093783600,5.1694324000,5.2608256800,5.3764953000,2467512,90340755.9000,2,8.336189,1,-2.151400,0
2010-03-29,sz.002351,5.2765339000,5.3693552000,5.2151290400,5.3622151000,5.2608256800,1747581,64846970.8600,2,5.903990,1,1.927300,0
2010-03-30,sz.002351,5.3479349000,5.7406404000,5.2908141000,5.7063679200,5.3622151000,3771364,147552856.6300,2,12.741095,1,6.418100,0
