date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2011-09-29,sh.601996,2.8890752000,3.1396121900,2.8439334000,2.9861300700,3.1599260000,14342539,189767558.0000,2,30.568071,1,-5.500003,0
2011-09-30,sh.601996,2.9342170000,3.0606140400,2.8732755700,2.9522737200,2.9861300700,8350004,110498185.0000,2,17.796257,1,-1.133800,0
2011-10-10,sh.601996,2.9342170000,2.9522737200,2.7423643500,2.8597330300,2.9522737200,6165817,77678599.0000,2,13.141127,1,-3.134600,0
2011-10-11,sh.601996,2.9274457300,3.1238125600,2.8823039300,2.9590449900,2.8597330300,8349171,110231861.0000,2,17.794482,1,3.472800,0
2011-10-12,sh.601996,2.8642472100,3.1034987500,2.8033057800,3.0560998600,2.9590449900,8549547,112808231.0000,2,18.221541,1,3.279900,0
2011-10-13,sh.601996,3.0245006000,3.3608070100,3.0087009700,3.3608070100,3.0560998600,19871994,288050263.0000,2,42.352928,1,9.970500,0
2011-10-14,sh.601996,3.4217484400,3.4262626200,3.2276387000,3.2885801300,3.3608070100,20764060,305084317.0000,2,44.254177,1,-2.149100,0
2011-10-17,sh.601996,3.2637521400,3.5413742100,3.2456954200,3.4240055300,3.2885801300,25206636,378687691.0000,2,53.722583,1,4.118100,0
2011-10-18,sh.601996,3.3382361100,3.3698353700,3.1689543600,3.1757256300,3.4240055300,14183975,205596436.0000,2,30.230126,1,-7.251200,0
2011-10-19,sh.601996,3.1847539900,3.2569808700,3.0764136700,3.2253816100,3.1757256300,11272685,157705646.0000,2,24.025330,1,1.563600,0
2011-10-20,sh.601996,3.1599260000,3.1824969000,3.0809278500,3.1621830900,3.2253816100,7571767,104994811.0000,2,16.137611,1,-1.959400,0
2011-10-21,sh.601996,3.1147842000,3.1486405500,2.8461904900,2.8507046700,3.1621830900,11535790,150102250.0000,2,24.586083,1,-9.850100,0
2011-10-24,sh.601996,2.8258766800,2.9274457300,2.7152792700,2.8823039300,2.8507046700,7600506,95179968.0000,2,16.198862,1,1.108500,0
